jenis_makam,lokasi,zona,no_lot,ukuran
kotak_abu,KARAWANG,LCB-B-B13,DL-3A-08,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-3A-18,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-3A-28,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-3A-38,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-3A-68,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-01-08,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-01-108,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-01-118,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-01-128,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-01-138,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-01-18,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-01-28,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-01-38,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-01-68,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-01-88,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-01-98,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-02-08,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-02-108,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-02-118,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-02-128,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-02-138,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-02-18,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-02-28,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-02-38,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-02-68,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-02-88,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-02-98,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-03-08,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-03-108,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-03-118,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-03-128,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-03-138,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-03-18,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-03-28,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-03-38,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-03-68,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-03-88,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-03-98,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-05-08,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-05-108,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-05-118,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-05-128,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-05-138,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-05-18,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-05-28,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-05-38,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-05-68,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-05-88,Double
kotak_abu,KARAWANG,LCB-B-B13A,DB-05-98,Double
